name,location,price,capacity,rating,reviews,description
Park Tavern: The Piedmont Room & Piedmont Garden Tent,Georgia,$$,251-300 Guests,4.7,132,"Located in the heart of the city overlooking Piedmont Park, our venues celebrate what Atlanta is all about: city skylines tucked in among the trees and seasonal colors."
Atlanta Botanical Garden,"Atlanta, GA",$$$,151-200 Guests,4.7,21,"The Atlanta Botanical Garden is a versatile indoor/outdoor wedding venue in Atlanta, GA. An urban oasis nestled in the heart of Midtown, this property offers lush lawns, verdant tropical foliage, and View Vendor Storefront."
Factory Atlanta,"Atlanta, GA",$$$,300+ Guests,5,6,"Located in Atlanta, GA, Factory Atlanta is a versatile wedding venue perfect for couples who love to get creative. This industrial-meets-chic property has been setting the scene for marital events and View Vendor Storefront."
Monday Night Brewing: The Garage,Metro Atlanta,$$,300+ Guests,4.9,14,"Monday Night Garage is one of Atlanta’s most charming and inviting private event spaces. With high ceilings, ample natural light, historic charm, and plenty of space, we will provide a generous setting."
Ambient + Studio,"Atlanta, GA",$$,251-300 Guests,4.4,9,"Ambient + Studio in Atlanta, GA, is a unique wedding venue built in 1910. That’s more than 100 years ago. Before the Titanic. Before World War I."
The Kimpton Shane,Atlanta,$$$,51-100 Guests,0,0,"The Kimpton Shane is a boutique hotel venue in Atlanta, GA, specializing in weddings and events. This brand-new property features stunning architecture, stylish furnishings, and a host of state-of-the-art facilities."
Hyatt Regency Atlanta Perimeter at Villa Christina,"Atlanta, GA",$$$,300+ Guests,4.6,63,"Villa Christina at Hyatt Regency is a hotel and wedding venue located in Atlanta, GA. Surrounded by 83 acres of lovingly landscaped gardens, guests are treated to captivating views of nature’s beauty."
Journeyman's Hall,"Atlanta, GA",$$,151-200 Guests,5,4,"Journeyman's Hall is a wedding venue located in South Downtown Atlanta, GA. Led by owner Chef Vincent Marra, this talented team would be delighted to create your dream wedding day."
Wahoo! Grill,"Decatur, GA",$$,201-250 Guests,5,101,"Book your wedding, wedding reception or rehearsal dinner at Wahoo! and you can relax, enjoy and leave the rest to our outstanding staff."
Ecco Buckhead,"Atlanta, GA",$$$,300+ Guests,0,0,"From weddings to rehearsal dinners, bridal events and more, Ecco Buckhead is an enchanting and elegant restaurant wedding venue located in the heart of Atlanta, GA's vibrant Buckhead neighborhood."
FORTH Hotel Atlanta,Georgia,$$$$,201-250 Guests,0,0,"FORTH Hotel Atlanta is a deluxe wedding venue in Atlanta, GA. This luxury venue in the trendy Old Fourth Ward neighborhood boasts an elegant ballroom and state-of-the-art facilities; including a Rooftop."
Emory Conference Center Hotel,"Atlanta, GA",$$,300+ Guests,4.8,41,"Emory Conference Center Hotel is an elegant venue situated in Atlanta, GA, offering versatility and unique surroundings in a convenient location. Just a short drive from Hartsfield International Airport."
Swan Coach House,"Atlanta, GA",$$,101-150 Guests,4.6,63,"Swan Coach House is an elegant wedding venue in Atlanta, GA. Originally part of Atlanta’s famed Inman family estate, the Swan Coach House is a historic space in the residential heart of Buckhead."
Rhodes Hall,"Atlanta, GA",$$,101-150 Guests,4.5,21,"Rhodes Hall is a mansion and wedding venue located in Atlanta, GA. Known as the 'Castle on Peachtree,' Rhodes Hall is Atlanta’s most unique venue for weddings, receptions, showers, and rehearsal dinners."
The Wimbish House,"Atlanta, GA",$$,201-250 Guests,4.9,85,"Situated in the heart of Midtown and lovingly known as ‘The Light on Peachtree,’ The Wimbish House has been the destination for weddings and events for nearly a century. This lovely Victorian-era home."
Omni Atlanta Hotel at Centennial Park,"Atlanta, GA",0,300+ Guests,5,2,"In the heart of downtown, across from Centennial Olympic Park, Omni Atlanta Hotel at CNN Center is the perfect Atlanta wedding venue. Their hotel banquet and catering services are ideally suited to meet your needs."
SCAD Ivy Hall,Georgia,$$,101-150 Guests,4.5,4,"SCAD Ivy Hall is a historic wedding venue situated in Atlanta, GA. Originally constructed in 1883 and designed by renowned architect Gottfried L. Norrman, the building was acquired by the Savannah College of Art and Design."
Waldorf Astoria Atlanta Buckhead,"Atlanta, GA",$$$$,51-100 Guests,4.9,7,"Tie the knot at Waldorf Astoria Atlanta Buckhead. Located in one of the most prestigious neighborhoods where unforgettable luxury and irresistible Southern charm meet, surrounded by the city’s best shopping and dining."
42West Entertainment Group,"Atlanta, GA",$$$,251-300 Guests,5,6,42West Entertainment Group is a wedding and special event venue located in West Atlanta. This stunning gathering space offers a distinct blend of industrial modernity and refined elegance.
Historic DeKalb Courthouse,"Decatur, GA",$$,101-150 Guests,4.9,93,"Wow your guests in the Historic DeKalb Courthouse; a premier wedding venue in the heart of charming Decatur. Our elegant Courtroom is clad in white marble, and features 20-foot ceilings crowned with historic details."
The Westside Warehouse,"Atlanta, GA",$$,151-200 Guests,5,37,The Westside Warehouse is located in the heart of Atlanta’s west-midtown creative district - one of the most up-and-coming locations in the city. Our converted warehouse boasts soaring cathedral ceilings.
Grand Hyatt Atlanta in Buckhead,"Atlanta, GA",$$$,300+ Guests,5,4,"Trust our tenured staff to create an experience you and your guests will never forget. Conveniently located in the heart of Atlanta and Buckhead, our hotel is an urban retreat to rival the comfort and luxury of home."
Intercontinental Buckhead Atlanta,"Atlanta, GA",$$$,300+ Guests,5,8,"Located in Atlanta, GA, InterContinental Buckhead Atlanta is a hotel wedding venue that combines classic charm with modern luxury. Designed to enhance relaxation and inspire awe, this City in a Forest offers a unique setting for your special day."
Hotel Colee,"Atlanta, GA",$$$,251-300 Guests,0,0,Thank you for considering the Hotel Colee to host your Celebration! Awarded: 'Best Hotels in the South' - Conde Nast Traveler's Readers Choice 2021 and 'Best Hotel Development/Redevelopment' - Modern Luxury.
Wrecking Bar Brewpub,"Atlanta, GA",$$,201-250 Guests,5,9,"The Marianna at Wrecking Bar Brewpub is a historic mansion wedding venue located in Atlanta, GA. This event space is a gem in the heart of Atlanta. The Victorian-era architecture of the Marianna will leave your guests in awe."
Epicurean Hotel Atlanta,"Atlanta, GA",$$$,101-150 Guests,5,3,"Epicurean Hotel Atlanta is a luxe and lavish wedding venue in Atlanta, GA. Inspired by the sleek aesthetics of today's architecture, this awe-inspiring property sets the scene for dazzling 'I Do's.'"
The Trolley Barn,"Atlanta, GA",$$,201-250 Guests,4.2,41,"This 1889 structure features hardwood floors, a patio and garden area off of the main hall, two getting ready suites, a warming kitchen and is fully climate controlled."
